ID,TL_mm,weight,sex,area,capt_date,age,cohort,year,inc_um,rad_um,core,OH,d18O,sims_dist,"Sr[, 2]"
BH-00355,552,800,m,Peene,2019-07-09,2,2017,1,696.5,696.5,382.8,0.0574,-9.6488903,0,0.00177
BH-00355,552,800,m,Peene,2019-07-09,2,2017,1,696.5,696.5,382.8,0.0583,-9.9010929,35.90264614,0.00157194444444444
BH-00355,552,800,m,Peene,2019-07-09,2,2017,1,696.5,696.5,382.8,0.0615,-10.104795,71.80529228,0.00141277777777778
BH-00355,552,800,m,Peene,2019-07-09,2,2017,1,696.5,696.5,382.8,0.0599,,107.9351657,0.00119520833333333
BH-00355,552,800,m,Peene,2019-07-09,2,2017,1,696.5,696.5,382.8,0.0514,-8.5236787,143.836713,0.00117166666666667
BH-00355,552,800,m,Peene,2019-07-09,2,2017,1,696.5,696.5,382.8,0.0534,-8.9310829,179.7386992,0.00128
BH-00355,552,800,m,Peene,2019-07-09,2,2017,1,696.5,696.5,382.8,0.0515,-9.2220859,215.8703314,0.00155791666666667
BH-00355,552,800,m,Peene,2019-07-09,2,2017,1,696.5,696.5,382.8,0.0517,-8.9116827,251.771722,0.00197006944444444
BH-00355,552,800,m,Peene,2019-07-09,2,2017,1,696.5,696.5,382.8,0.0527,-8.9213828,287.673426,0.00192388888888889
BH-00355,552,800,m,Peene,2019-07-09,2,2017,1,696.5,696.5,382.8,0.0513,-9.1444851,323.575339,0.00179819444444444
BH-00355,552,800,m,Peene,2019-07-09,2,2017,1,696.5,696.5,382.8,0.0544,-8.9892835,359.7068251,0.00124263888888889
BH-00355,552,800,m,Peene,2019-07-09,2,2017,1,696.5,696.5,382.8,0.0507,-9.1250849,395.6083922,0.000881631944444444
BH-00355,552,800,m,Peene,2019-07-09,2,2017,1,696.5,696.5,382.8,0.049,-9.2123858,431.5101389,0.000832666666666667
BH-00355,552,800,m,Peene,2019-07-09,2,2017,1,696.5,696.5,382.8,0.0474,-9.1250849,467.6419571,0.000798736111111111
BH-00355,552,800,m,Peene,2019-07-09,2,2017,1,696.5,696.5,382.8,0.0476,-8.9989836,537.4988372,0.000805652777777778
BH-00355,552,800,m,Peene,2019-07-09,2,2017,1,696.5,696.5,382.8,0.0481,-8.8534821,572.6587116,0.000767215277777778
BH-00355,552,800,m,Peene,2019-07-09,2,2017,1,696.5,696.5,382.8,0.0458,-8.2520759,607.5870308,0.000743333333333333
BH-00355,552,800,m,Peene,2019-07-09,2,2017,1,696.5,696.5,382.8,0.0432,-7.5924691,642.5153695,0.000800368055555556
BH-00355,552,800,m,Peene,2019-07-09,2,2017,1,696.5,696.5,382.8,0.0412,-6.4478573,677.4437246,0.000939361111111111
BH-00355,552,800,m,Peene,2019-07-09,2,2017,2,365.9,1082.4,382.8,0.0438,-7.7961712,712.6043783,0.0008296875
BH-00355,552,800,m,Peene,2019-07-09,2,2017,2,365.9,1082.4,382.8,0.0472,-8.7855814,747.532608,0.000809861111111111
BH-00355,552,800,m,Peene,2019-07-09,2,2017,2,365.9,1082.4,382.8,0.0455,-8.9601832,782.4608616,0.000838479166666667
BH-00355,552,800,m,Peene,2019-07-09,2,2017,2,365.9,1082.4,382.8,0.0441,-8.4169776,817.6221621,0.000892125
BH-00355,552,800,m,Peene,2019-07-09,2,2017,2,365.9,1082.4,382.8,0.0485,-8.0968743,852.5502918,0.000861743055555555
BH-00355,552,800,m,Peene,2019-07-09,2,2017,2,365.9,1082.4,382.8,0.0475,-8.7661812,887.4784504,0.000845944444444444
BH-00355,552,800,m,Peene,2019-07-09,2,2017,2,365.9,1082.4,382.8,0.0469,-8.8049816,922.4066348,0.000770597222222222
BH-00355,552,800,m,Peene,2019-07-09,2,2017,2,365.9,1082.4,382.8,0.0453,-7.5342685,957.5682743,0.000824652777777778
BH-00355,552,800,m,Peene,2019-07-09,2,2017,2,365.9,1082.4,382.8,0.0449,-7.8543718,992.4963476,0.000827027777777778
BH-00355,552,800,m,Peene,2019-07-09,2,2017,2,365.9,1082.4,382.8,0.0461,-5.8658513,1027.42445,0.000980944444444444
BH-00355,552,800,m,Peene,2019-07-09,2,2017,2,365.9,1082.4,382.8,0.0433,-4.9249416,1062.586467,0.00117369444444444
BH-00355,552,800,m,Peene,2019-07-09,2,2017,3,79.3,1181.7,382.8,0.0439,-7.1074641,1097.514465,0.00111891666666667
BH-00355,552,800,m,Peene,2019-07-09,2,2017,3,79.3,1181.7,382.8,0.0504,-9.0668843,1132.442493,0.00115833333333333
BH-00355,552,800,m,Peene,2019-07-09,2,2017,3,79.3,1181.7,382.8,0.0428,-7.8543718,1167.604813,0.00105077777777778
BH-00356,815,3000,f,Peene,2019-07-09,7,2012,1,659.2,659.2,229.3,0.0494,,0,0.00134666666666667
BH-00356,815,3000,f,Peene,2019-07-09,7,2012,1,659.2,659.2,229.3,0.0503,-8.6206797,36.23534186,0.00139568306010929
BH-00356,815,3000,f,Peene,2019-07-09,7,2012,1,659.2,659.2,229.3,0.0497,-8.5333788,72.47068373,0.00144608378870674
BH-00356,815,3000,f,Peene,2019-07-09,7,2012,1,659.2,659.2,229.3,0.0517,-8.7370809,129.5569373,0.0013476320582878
BH-00356,815,3000,f,Peene,2019-07-09,7,2012,1,659.2,659.2,229.3,0.0498,,145.4132044,0.00127666666666667
BH-00356,815,3000,f,Peene,2019-07-09,7,2012,1,659.2,659.2,229.3,0.049,,182.1235844,0.00127134790528233
BH-00356,815,3000,f,Peene,2019-07-09,7,2012,1,659.2,659.2,229.3,0.0509,,218.357505,0.00116378870673953
BH-00356,815,3000,f,Peene,2019-07-09,7,2012,1,659.2,659.2,229.3,0.0488,,254.5918302,0.000993331511839709
BH-00356,815,3000,f,Peene,2019-07-09,7,2012,1,659.2,659.2,229.3,0.0449,-9.0474841,291.3022485,0.000866453551912568
BH-00356,815,3000,f,Peene,2019-07-09,7,2012,1,659.2,659.2,229.3,0.0469,-9.0959846,327.5362575,0.000844859744990893
BH-00356,815,3000,f,Peene,2019-07-09,7,2012,1,659.2,659.2,229.3,0.0456,-8.8728823,364.2471688,0.000840622950819672
BH-00356,815,3000,f,Peene,2019-07-09,7,2012,1,659.2,659.2,229.3,0.0465,-8.6594801,400.4809608,0.000828513661202186
BH-00356,815,3000,f,Peene,2019-07-09,7,2012,1,659.2,659.2,229.3,0.0441,-7.5730689,436.71501,0.000934610200364299
BH-00356,815,3000,f,Peene,2019-07-09,7,2012,1,659.2,659.2,229.3,0.0441,-8.1453748,473.4258126,0.00107874316939891
BH-00356,815,3000,f,Peene,2019-07-09,7,2012,1,659.2,659.2,229.3,0.0442,-8.0968743,509.6596904,0.00101030783242259
BH-00356,815,3000,f,Peene,2019-07-09,7,2012,1,659.2,659.2,229.3,0.0442,-7.3499666,546.3707532,0.000854091074681239
BH-00356,815,3000,f,Peene,2019-07-09,7,2012,1,659.2,659.2,229.3,0.0448,-7.2626657,582.6044971,0.000860826958105647
BH-00356,815,3000,f,Peene,2019-07-09,7,2012,1,659.2,659.2,229.3,0.0452,-7.0783638,618.838428,0.000933540983606557
BH-00356,815,3000,f,Peene,2019-07-09,7,2012,1,659.2,659.2,229.3,0.0425,-6.1083538,655.5493879,0.000858036429872495
BH-00356,815,3000,f,Peene,2019-07-09,7,2012,2,207.8,807,229.3,0.0437,-7.6312695,691.783203,0.000724174863387978
BH-00356,815,3000,f,Peene,2019-07-09,7,2012,2,207.8,807,229.3,0.0425,-8.9310829,728.4943377,0.000784604735883425
BH-00356,815,3000,f,Peene,2019-07-09,7,2012,2,207.8,807,229.3,0.0389,-8.3199766,764.7280562,0.000912380692167577
BH-00356,815,3000,f,Peene,2019-07-09,7,2012,2,207.8,807,229.3,0.0399,-7.6894701,800.0831207,0.000787316939890711
BH-00356,815,3000,f,Peene,2019-07-09,7,2012,3,444.8,1191.8,229.3,0.0409,-8.164775,835.9162637,0.000744174863387978
BH-00356,815,3000,f,Peene,2019-07-09,7,2012,3,444.8,1191.8,229.3,0.0391,-8.1259746,871.2714847,0.000714072859744991
BH-00356,815,3000,f,Peene,2019-07-09,7,2012,3,444.8,1191.8,229.3,0.0374,-8.8049816,907.1058373,0.000749688524590164
BH-00356,815,3000,f,Peene,2019-07-09,7,2012,3,444.8,1191.8,229.3,0.0363,-8.7273808,942.4611398,0.000809610200364299
BH-00356,815,3000,f,Peene,2019-07-09,7,2012,3,444.8,1191.8,229.3,0.0369,-8.358777,977.8164449,0.00081788160291439
BH-00356,815,3000,f,Peene,2019-07-09,7,2012,3,444.8,1191.8,229.3,0.0407,-7.4469676,1013.651814,0.000726706739526412
BH-00356,815,3000,f,Peene,2019-07-09,7,2012,3,444.8,1191.8,229.3,0.0397,-7.4081672,1049.00715,0.000767750455373407
BH-00356,815,3000,f,Peene,2019-07-09,7,2012,3,444.8,1191.8,229.3,0.0397,-7.4081672,1084.843307,0.00100191621129326
BH-00356,815,3000,f,Peene,2019-07-09,7,2012,3,444.8,1191.8,229.3,0.0389,-7.0686637,1120.198643,0.0009601912568306
BH-00356,815,3000,f,Peene,2019-07-09,7,2012,3,444.8,1191.8,229.3,0.0376,-6.7679606,1155.55398,0.000906774134790528
BH-00356,815,3000,f,Peene,2019-07-09,7,2012,3,444.8,1191.8,229.3,0.0373,-6.8358613,1191.390784,0.000965954462659381
