area,date,cohort,month,d18O,d18O_cor
Lagoon,2008-01-01,2007,1,-6.8649616,-6.31133705885461
Lagoon,2008-02-01,2007,2,-7.12186727878788,-6.55255703424929
Lagoon,2008-03-01,2007,3,-6.72122375454546,-6.14550942219211
Lagoon,2008-04-01,2007,4,-6.51017309393939,-5.87685828075183
Lagoon,2008-05-01,2007,5,-6.10659014545455,-5.50535477427598
Lagoon,2008-06-01,2007,6,-5.8831939030303,-5.29828419015768
Lagoon,2008-07-01,2007,7,-5.60336071515152,-5.02084289049886
Lagoon,2008-08-01,2007,8,-5.19713228484849,-4.60152942463953
Lagoon,2008-09-01,2007,9,-5.02811539090909,-4.4379135686162
Lagoon,2008-10-01,2007,10,-5.07926137272727,-4.48938179723441
Lagoon,2008-11-01,2007,11,-4.44463967878788,-3.8660387412962
Lagoon,2008-12-01,2007,12,-3.83529703333333,-3.28371944017125
Lagoon,2009-01-01,2007,1,-6.17140445,-5.59596243888612
Lagoon,2009-01-01,2008,1,-6.17140445,-5.59596243888612
Lagoon,2009-02-01,2007,2,-6.52964677954545,-5.9432438385431
Lagoon,2009-02-01,2008,2,-6.52964677954545,-5.9432438385431
Lagoon,2009-03-01,2007,3,-6.24106880454546,-5.66748538589092
Lagoon,2009-03-01,2008,3,-6.24106880454546,-5.66748538589092
Lagoon,2009-04-01,2007,4,-6.20381160227273,-5.63395898459887
Lagoon,2009-04-01,2008,4,-6.20381160227273,-5.63395898459887
Lagoon,2009-05-01,2007,5,-6.14671328636364,-5.57251033688932
Lagoon,2009-05-01,2008,5,-6.14671328636364,-5.57251033688932
Lagoon,2009-06-01,2007,6,-6.06756928863636,-5.49436711971708
Lagoon,2009-06-01,2008,6,-6.06756928863636,-5.49436711971708
Lagoon,2009-07-01,2007,7,-5.58741433863636,-5.02373660506738
Lagoon,2009-07-01,2008,7,-5.58741433863636,-5.02373660506738
Lagoon,2009-08-01,2007,8,-5.41325345227273,-4.85145473525605
Lagoon,2009-08-01,2008,8,-5.41325345227273,-4.85145473525605
Lagoon,2009-09-01,2007,9,-5.48776785681818,-4.91343555475512
Lagoon,2009-09-01,2008,9,-5.48776785681818,-4.91343555475512
Lagoon,2009-10-01,2007,10,-5.49526338863636,-4.9256150118921
Lagoon,2009-10-01,2008,10,-5.49526338863636,-4.9256150118921
Lagoon,2009-11-01,2007,11,-4.728514575,-4.15607830956671
Lagoon,2009-11-01,2008,11,-4.728514575,-4.15607830956671
Lagoon,2009-12-01,2007,12,-3.845805475,-3.28163415918448
Lagoon,2009-12-01,2008,12,-3.845805475,-3.28163415918448
Lagoon,2010-01-01,2007,1,-5.57678832,-5.0229441063881
Lagoon,2010-01-01,2008,1,-5.57678832,-5.0229441063881
Lagoon,2010-01-01,2009,1,-5.57678832,-5.0229441063881
Lagoon,2010-02-01,2007,2,-5.72564076363636,-5.16699824978509
Lagoon,2010-02-01,2008,2,-5.72564076363636,-5.16699824978509
Lagoon,2010-02-01,2009,2,-5.72564076363636,-5.16699824978509
Lagoon,2010-03-01,2007,3,-5.76779210727273,-5.21603387435513
Lagoon,2010-03-01,2008,3,-5.76779210727273,-5.21603387435513
Lagoon,2010-03-01,2009,3,-5.76779210727273,-5.21603387435513
Lagoon,2010-04-01,2007,4,-5.51858772,-4.97229769757086
Lagoon,2010-04-01,2008,4,-5.51858772,-4.97229769757086
Lagoon,2010-04-01,2009,4,-5.51858772,-4.97229769757086
Lagoon,2010-05-01,2007,5,-5.40624292545455,-4.86435906067996
Lagoon,2010-05-01,2008,5,-5.40624292545455,-4.86435906067996
Lagoon,2010-05-01,2009,5,-5.40624292545455,-4.86435906067996
Lagoon,2010-06-01,2007,6,-5.83710373090909,-5.2871264788976
Lagoon,2010-06-01,2008,6,-5.83710373090909,-5.2871264788976
Lagoon,2010-06-01,2009,6,-5.83710373090909,-5.2871264788976
Lagoon,2010-07-01,2007,7,-5.49301472909091,-4.95025398992524
Lagoon,2010-07-01,2008,7,-5.49301472909091,-4.95025398992524
Lagoon,2010-07-01,2009,7,-5.49301472909091,-4.95025398992524
Lagoon,2010-08-01,2007,8,-5.60253767636364,-5.05144935369513
Lagoon,2010-08-01,2008,8,-5.60253767636364,-5.05144935369513
Lagoon,2010-08-01,2009,8,-5.60253767636364,-5.05144935369513
Lagoon,2010-09-01,2007,9,-5.31259286909091,-4.75622696080156
Lagoon,2010-09-01,2008,9,-5.31259286909091,-4.75622696080156
Lagoon,2010-09-01,2009,9,-5.31259286909091,-4.75622696080156
Lagoon,2010-10-01,2007,10,-5.31418015818182,-4.75619121530526
Lagoon,2010-10-01,2008,10,-5.31418015818182,-4.75619121530526
Lagoon,2010-10-01,2009,10,-5.31418015818182,-4.75619121530526
Lagoon,2010-11-01,2007,11,-4.75968716909091,-4.20368072483766
Lagoon,2010-11-01,2008,11,-4.75968716909091,-4.20368072483766
Lagoon,2010-11-01,2009,11,-4.75968716909091,-4.20368072483766
Lagoon,2010-12-01,2007,12,-4.4399366,-3.88321667409935
Lagoon,2010-12-01,2008,12,-4.4399366,-3.88321667409935
Lagoon,2010-12-01,2009,12,-4.4399366,-3.88321667409935
Lagoon,2011-01-01,2010,1,-5.69540668571429,-5.12368769497423
Lagoon,2011-01-01,2007,1,-5.69540668571429,-5.12368769497423
Lagoon,2011-01-01,2008,1,-5.69540668571429,-5.12368769497423
Lagoon,2011-01-01,2009,1,-5.69540668571429,-5.12368769497423
Lagoon,2011-02-01,2010,2,-5.8648434974026,-5.28826940799322
Lagoon,2011-02-01,2007,2,-5.8648434974026,-5.28826940799322
Lagoon,2011-02-01,2008,2,-5.8648434974026,-5.28826940799322
Lagoon,2011-02-01,2009,2,-5.8648434974026,-5.28826940799322
Lagoon,2011-03-01,2010,3,-5.6310332948052,-5.06460122641419
Lagoon,2011-03-01,2007,3,-5.6310332948052,-5.06460122641419
Lagoon,2011-03-01,2008,3,-5.6310332948052,-5.06460122641419
Lagoon,2011-03-01,2009,3,-5.6310332948052,-5.06460122641419
Lagoon,2011-04-01,2010,4,-5.67436880649351,-5.1102592492448
Lagoon,2011-04-01,2007,4,-5.67436880649351,-5.1102592492448
Lagoon,2011-04-01,2008,4,-5.67436880649351,-5.1102592492448
Lagoon,2011-04-01,2009,4,-5.67436880649351,-5.1102592492448
Lagoon,2011-05-01,2010,5,-5.65673226103896,-5.09484795734702
Lagoon,2011-05-01,2007,5,-5.65673226103896,-5.09484795734702
Lagoon,2011-05-01,2008,5,-5.65673226103896,-5.09484795734702
Lagoon,2011-05-01,2009,5,-5.65673226103896,-5.09484795734702
Lagoon,2011-06-01,2010,6,-5.64363082727273,-5.07687197339436
Lagoon,2011-06-01,2007,6,-5.64363082727273,-5.07687197339436
Lagoon,2011-06-01,2008,6,-5.64363082727273,-5.07687197339436
Lagoon,2011-06-01,2009,6,-5.64363082727273,-5.07687197339436
Lagoon,2011-07-01,2010,7,-5.34267577662338,-4.79317041841684
Lagoon,2011-07-01,2007,7,-5.34267577662338,-4.79317041841684
Lagoon,2011-07-01,2008,7,-5.34267577662338,-4.79317041841684
Lagoon,2011-07-01,2009,7,-5.34267577662338,-4.79317041841684
Lagoon,2011-08-01,2010,8,-5.26986203896104,-4.72569806735144
Lagoon,2011-08-01,2007,8,-5.26986203896104,-4.72569806735144
Lagoon,2011-08-01,2008,8,-5.26986203896104,-4.72569806735144
Lagoon,2011-08-01,2009,8,-5.26986203896104,-4.72569806735144
Lagoon,2011-09-01,2010,9,-5.0025424,-4.45716465372307
Lagoon,2011-09-01,2007,9,-5.0025424,-4.45716465372307
Lagoon,2011-09-01,2008,9,-5.0025424,-4.45716465372307
Lagoon,2011-09-01,2009,9,-5.0025424,-4.45716465372307
Lagoon,2011-10-01,2010,10,-4.70322502857143,-4.14992273422607
Lagoon,2011-10-01,2007,10,-4.70322502857143,-4.14992273422607
Lagoon,2011-10-01,2008,10,-4.70322502857143,-4.14992273422607
Lagoon,2011-10-01,2009,10,-4.70322502857143,-4.14992273422607
Lagoon,2011-11-01,2010,11,-4.45140035454546,-3.9012219738471
Lagoon,2011-11-01,2007,11,-4.45140035454546,-3.9012219738471
Lagoon,2011-11-01,2008,11,-4.45140035454546,-3.9012219738471
Lagoon,2011-11-01,2009,11,-4.45140035454546,-3.9012219738471
Lagoon,2011-12-01,2010,12,-3.69025744285714,-3.14827982177011
Lagoon,2011-12-01,2007,12,-3.69025744285714,-3.14827982177011
Lagoon,2011-12-01,2008,12,-3.69025744285714,-3.14827982177011
Lagoon,2011-12-01,2009,12,-3.69025744285714,-3.14827982177011
Lagoon,2012-01-01,2010,1,-5.44098692,-4.88482116782166
Lagoon,2012-01-01,2011,1,-5.44098692,-4.88482116782166
Lagoon,2012-01-01,2007,1,-5.44098692,-4.88482116782166
Lagoon,2012-01-01,2008,1,-5.44098692,-4.88482116782166
Lagoon,2012-01-01,2009,1,-5.44098692,-4.88482116782166
Lagoon,2012-02-01,2010,2,-5.70377144727273,-5.14304976075813
Lagoon,2012-02-01,2011,2,-5.70377144727273,-5.14304976075813
Lagoon,2012-02-01,2007,2,-5.70377144727273,-5.14304976075813
Lagoon,2012-02-01,2008,2,-5.70377144727273,-5.14304976075813
Lagoon,2012-02-01,2009,2,-5.70377144727273,-5.14304976075813
Lagoon,2012-03-01,2010,3,-5.99530354363636,-5.42786777696276
Lagoon,2012-03-01,2011,3,-5.99530354363636,-5.42786777696276
Lagoon,2012-03-01,2007,3,-5.99530354363636,-5.42786777696276
Lagoon,2012-03-01,2008,3,-5.99530354363636,-5.42786777696276
Lagoon,2012-03-01,2009,3,-5.99530354363636,-5.42786777696276
Lagoon,2012-04-01,2010,4,-6.06620245636364,-5.49851070772493
Lagoon,2012-04-01,2011,4,-6.06620245636364,-5.49851070772493
Lagoon,2012-04-01,2007,4,-6.06620245636364,-5.49851070772493
Lagoon,2012-04-01,2008,4,-6.06620245636364,-5.49851070772493
Lagoon,2012-04-01,2009,4,-6.06620245636364,-5.49851070772493
Lagoon,2012-05-01,2010,5,-6.12537306636364,-5.551029871451
Lagoon,2012-05-01,2011,5,-6.12537306636364,-5.551029871451
Lagoon,2012-05-01,2007,5,-6.12537306636364,-5.551029871451
Lagoon,2012-05-01,2008,5,-6.12537306636364,-5.551029871451
Lagoon,2012-05-01,2009,5,-6.12537306636364,-5.551029871451
Lagoon,2012-06-01,2010,6,-5.91902548454545,-5.35337750680894
Lagoon,2012-06-01,2011,6,-5.91902548454545,-5.35337750680894
Lagoon,2012-06-01,2007,6,-5.91902548454545,-5.35337750680894
