fishID,TL_mm,weight,sex,area,age,cohort,year,month,lifeyear,d18O,d18O_cor,date,d18O_W
BH-91054,636,1766,m,Tributary,5,2016,1,1,2017,-7.0783638,-6.00065411991843,2017-01-01,-7.68120183540208
BH-91054,636,1766,m,Tributary,5,2016,1,2,2017,-6.28912839090909,-5.42667125549326,2017-02-01,-8.0752838402259
BH-91054,636,1766,m,Tributary,5,2016,1,3,2017,-6.06426243636364,-5.1401902602814,2017-03-01,-7.7
BH-91054,636,1766,m,Tributary,5,2016,1,4,2017,-5.448747,-4.12697774325282,2017-04-01,-7.25
BH-91054,636,1766,m,Tributary,5,2016,1,5,2017,-6.20447297272727,-4.60903691198129,2017-05-01,-6.8
BH-91054,636,1766,m,Tributary,5,2016,1,6,2017,-6.02722569090909,-4.58382674349578,2017-06-01,-6.35
BH-91054,636,1766,m,Tributary,5,2016,1,7,2017,-6.20182749090909,-5.33937035549326,2017-07-01,-5.9
BH-91054,636,1766,m,Tributary,5,2016,1,8,2017,-8.01045522727273,-7.72013775518774,2017-08-01,-5.38803607214429
BH-91054,636,1766,m,Tributary,5,2016,1,9,2017,-7.84555352727273,-7.66726340185392,2017-09-01,-5.12342284569138
BH-91054,636,1766,m,Tributary,5,2016,1,10,2017,-8.08364689090909,-7.62768898482482,2017-10-01,-5.42066933867736
BH-91054,636,1766,m,Tributary,5,2016,1,11,2017,-7.12245516363636,-6.53446502755267,2017-11-01,-6.00735871743487
BH-91054,636,1766,m,Tributary,5,2016,1,12,2017,-6.3702565,-5.86468648324928,2017-12-01,-6.52665330661323
BH-91054,636,1766,m,Tributary,5,2016,2,1,2018,-7.0201632,-5.64318046525307,2018-01-01,-7.68120183540208
BH-91054,636,1766,m,Tributary,5,2016,2,2,2018,-6.66302315454546,-5.22202479313213,2018-02-01,-8.0752838402259
BH-91054,636,1766,m,Tributary,5,2016,2,3,2018,-6.89053459090909,-5.50554990282886,2018-03-01,-7.7
BH-91054,636,1766,m,Tributary,5,2016,2,4,2018,-6.72210558181818,-5.39393476240437,2018-04-01,-7.25
BH-91054,636,1766,m,Tributary,5,2016,2,5,2018,-6.60658620909091,-5.36803726701004,2018-05-01,-6.8
BH-91054,636,1766,m,Tributary,5,2016,2,6,2018,-5.78560501818182,-4.63987873476722,2018-06-01,-6.35
BH-91054,636,1766,m,Tributary,5,2016,2,7,2018,-5.545748,-4.88013891658331,2018-07-01,-5.9
BH-91054,636,1766,m,Tributary,5,2016,2,8,2018,-4.50519181818182,-4.07403996743077,2018-08-01,-5.38803607214429
BH-91054,636,1766,m,Tributary,5,2016,2,9,2018,-6.8455614,-6.25677106858297,2018-09-01,-5.12342284569138
BH-91054,636,1766,m,Tributary,5,2016,2,10,2018,-7.05014532727273,-6.53417277118872,2018-10-01,-5.42066933867736
BH-91054,636,1766,m,Tributary,5,2016,2,11,2018,-7.34643929090909,-6.74884681082544,2018-11-01,-6.00735871743487
BH-91054,636,1766,m,Tributary,5,2016,2,12,2018,-6.8261612,-6.51423845391511,2018-12-01,-6.52665330661323
BH-91054,636,1766,m,Tributary,5,2016,3,1,2019,-5.6912495,-4.58713337391855,2019-01-01,-7.68120183540208
BH-91054,636,1766,m,Tributary,5,2016,3,2,2019,-6.26531905454546,-5.48608223379592,2019-02-01,-8.0752838402259
BH-91054,636,1766,m,Tributary,5,2016,3,3,2019,-6.73797847272727,-6.04196196664405,2019-03-01,-7.7
BH-91054,636,1766,m,Tributary,5,2016,3,4,2019,-6.18242729090909,-5.49121195682584,2019-04-01,-7.25
BH-91054,636,1766,m,Tributary,5,2016,3,5,2019,-5.7979506,-5.03311729525041,2019-05-01,-6.8
BH-91054,636,1766,m,Tributary,5,2016,3,6,2019,-4.53517394545455,-3.56629083070584,2019-06-01,-6.35
BH-91054,636,1766,m,Tributary,5,2016,3,7,2019,-5.83146003636364,-4.92979332961464,2019-07-01,-5.9
BH-91054,636,1766,m,Tributary,5,2016,3,8,2019,-7.13127343636364,-6.50087294761346,2019-08-01,-5.38803607214429
BH-91054,636,1766,m,Tributary,5,2016,3,9,2019,-7.06778187272727,-6.41497591464386,2019-09-01,-5.12342284569138
BH-91054,636,1766,m,Tributary,5,2016,3,10,2019,-6.25032799090909,-5.74155719282506,2019-10-01,-5.42066933867736
BH-91054,636,1766,m,Tributary,5,2016,3,11,2019,-4.11101502727273,-3.80069267185449,2019-11-01,-6.00735871743487
BH-91054,636,1766,m,Tributary,5,2016,3,12,2019,-5.9046517,-5.60153110258173,2019-12-01,-6.52665330661323
BH-91054,636,1766,m,Tributary,5,2016,4,1,2020,-5.836751,-4.89107354991786,2020-01-01,-7.68120183540208
BH-91054,636,1766,m,Tributary,5,2016,4,2,2020,-5.33058214545455,-4.60895938870477,2020-02-01,-8.0752838402259
BH-91054,636,1766,m,Tributary,5,2016,4,3,2020,-5.30853646363636,-4.62612327821975,2020-03-01,-7.7
BH-91054,636,1766,m,Tributary,5,2016,4,4,2020,-5.93198834545455,-5.0423245687055,2020-04-01,-7.25
BH-91054,636,1766,m,Tributary,5,2016,4,5,2020,-5.22211739090909,-4.26443701082701,2020-05-01,-6.8
BH-91054,636,1766,m,Tributary,5,2016,4,6,2020,-4.88790485454545,-4.04865338379619,2020-06-01,-6.35
BH-91054,636,1766,m,Tributary,5,2016,4,7,2020,-6.04838954545455,-5.73566660403632,2020-07-01,-5.9
BH-91054,636,1766,m,Tributary,5,2016,4,8,2020,-6.34468350909091,-6.25041389367174,2020-08-01,-5.38803607214429
BH-91054,636,1766,m,Tributary,5,2016,4,9,2020,-6.13392679090909,-6.098071434823,2020-09-01,-5.12342284569138
BH-91054,636,1766,m,Tributary,5,2016,4,10,2020,-4.95492372727273,-4.75662871852067,2020-10-01,-5.42066933867736
BH-91054,636,1766,m,Tributary,5,2016,4,11,2020,-5.20095353636364,-5.03226575494479,2020-11-01,-6.00735871743487
BH-91054,636,1766,m,Tributary,5,2016,4,12,2020,-6.515758,-6.52071260591373,2020-12-01,-6.52665330661323
BH-91054,636,1766,m,Tributary,5,2016,5,1,2021,-5.0316427,-3.84830723591889,2021-01-01,
BH-91054,636,1766,m,Tributary,5,2016,5,2,2021,-5.4196467,-4.35794092658503,2021-02-01,
