area,date,cohort,month,d18O,d18O_cor,d18O_W
Lagoon,2013-01-01,2012,1,-7.0686637,-6.63087022798232,-5.91221532091097
Lagoon,2013-02-01,2012,2,-7.70269750909091,-7.09334215760731,-6.36314699792961
Lagoon,2013-03-01,2012,3,-6.60394072727273,-6.42509046512059,-6.05
Lagoon,2013-04-01,2012,4,-6.83145216363636,-6.83192567568345,-5.93333333333333
Lagoon,2013-05-01,2012,5,-7.56160514545455,-7.39627818443569,-5.81666666666667
Lagoon,2013-06-01,2012,6,-9.00692004545454,-8.49678891530385,-5.7
Lagoon,2013-07-01,2012,7,-9.07041160909091,-8.50362664934046,-5.35
Lagoon,2013-08-01,2012,8,-8.1841752,-7.79343321358211,-5.8003367003367
Lagoon,2013-09-01,2012,9,-7.79969850909091,-7.53218660400582,-5.98947811447811
Lagoon,2013-10-01,2012,10,-8.06160120909091,-8.0749578660046,-6.26268237934905
Lagoon,2013-11-01,2012,11,-7.41257633636364,-7.6155792872765,-6.80909090909091
Lagoon,2013-12-01,2012,12,-4.963742,-5.59012830177769,-7.06127946127946
Lagoon,2014-01-01,2013,1,-7.09291395,-7.16696542294676,-5.91221532091097
Lagoon,2014-01-01,2012,1,-7.09291395,-7.16696542294676,-5.91221532091097
Lagoon,2014-02-01,2013,2,-7.36539857727273,-7.27412969435354,-6.36314699792961
Lagoon,2014-02-01,2012,2,-7.36539857727273,-7.27412969435354,-6.36314699792961
Lagoon,2014-03-01,2013,3,-8.00295969545455,-7.92285353743531,-6.05
Lagoon,2014-03-01,2012,3,-8.00295969545455,-7.92285353743531,-6.05
Lagoon,2014-04-01,2013,4,-8.29308086818182,-8.22569781596253,-5.93333333333333
Lagoon,2014-04-01,2012,4,-8.29308086818182,-8.22569781596253,-5.93333333333333
Lagoon,2014-05-01,2013,5,-8.42270947727273,-8.33080043808687,-5.81666666666667
Lagoon,2014-05-01,2012,5,-8.42270947727273,-8.33080043808687,-5.81666666666667
Lagoon,2014-06-01,2013,6,-8.20137083181818,-8.2008440996986,-5.7
Lagoon,2014-06-01,2012,6,-8.20137083181818,-8.2008440996986,-5.7
Lagoon,2014-07-01,2013,7,-8.01221888181818,-8.05402248283175,-5.35
Lagoon,2014-07-01,2012,7,-8.01221888181818,-8.05402248283175,-5.35
Lagoon,2014-08-01,2013,8,-7.95930924545455,-7.9353367900684,-5.8003367003367
Lagoon,2014-08-01,2012,8,-7.95930924545455,-7.9353367900684,-5.8003367003367
Lagoon,2014-09-01,2013,9,-7.55631418181818,-7.53354201943203,-5.98947811447811
Lagoon,2014-09-01,2012,9,-7.55631418181818,-7.53354201943203,-5.98947811447811
Lagoon,2014-10-01,2013,10,-6.8649616,-6.89564248588028,-6.26268237934905
Lagoon,2014-10-01,2012,10,-6.8649616,-6.89564248588028,-6.26268237934905
Lagoon,2014-11-01,2013,11,-6.03251665454546,-6.14709802112537,-6.80909090909091
Lagoon,2014-11-01,2012,11,-6.03251665454546,-6.14709802112537,-6.80909090909091
Lagoon,2014-12-01,2013,12,-5.3129456,-5.54411542664608,-7.06127946127946
Lagoon,2014-12-01,2012,12,-5.3129456,-5.54411542664608,-7.06127946127946
Lagoon,2015-01-01,2013,1,-7.17051475,-7.41576801451269,-5.91221532091097
Lagoon,2015-01-01,2012,1,-7.17051475,-7.41576801451269,-5.91221532091097
Lagoon,2015-02-01,2013,2,-7.46063592272727,-7.65327634407352,-6.36314699792961
Lagoon,2015-02-01,2012,2,-7.46063592272727,-7.65327634407352,-6.36314699792961
Lagoon,2015-03-01,2013,3,-7.65948797272727,-7.80515692800706,-6.05
Lagoon,2015-03-01,2012,3,-7.65948797272727,-7.80515692800706,-6.05
Lagoon,2015-04-01,2013,4,-7.73664785909091,-7.84286718443753,-5.93333333333333
Lagoon,2015-04-01,2012,4,-7.73664785909091,-7.84286718443753,-5.93333333333333
Lagoon,2015-05-01,2013,5,-7.84908083636364,-7.93637554207701,-5.81666666666667
Lagoon,2015-05-01,2012,5,-7.84908083636364,-7.93637554207701,-5.81666666666667
Lagoon,2015-06-01,2013,6,-7.89449494090909,-7.934938209856,-5.7
Lagoon,2015-06-01,2012,6,-7.89449494090909,-7.934938209856,-5.7
Lagoon,2015-07-01,2013,7,-7.83849890909091,-7.82468893443805,-5.35
Lagoon,2015-07-01,2012,7,-7.83849890909091,-7.82468893443805,-5.35
Lagoon,2015-08-01,2013,8,-7.68329730909091,-7.6190350186716,-5.8003367003367
Lagoon,2015-08-01,2012,8,-7.68329730909091,-7.6190350186716,-5.8003367003367
Lagoon,2015-09-01,2013,9,-7.39008974090909,-7.33755031212307,-5.98947811447811
Lagoon,2015-09-01,2012,9,-7.39008974090909,-7.33755031212307,-5.98947811447811
Lagoon,2015-10-01,2013,10,-7.10834592727273,-7.04680430098675,-6.26268237934905
Lagoon,2015-10-01,2012,10,-7.10834592727273,-7.04680430098675,-6.26268237934905
Lagoon,2015-11-01,2013,11,-6.63083645909091,-6.61086498037142,-6.80909090909091
Lagoon,2015-11-01,2012,11,-6.63083645909091,-6.61086498037142,-6.80909090909091
Lagoon,2015-12-01,2013,12,-6.00650275,-6.06603067764683,-7.06127946127946
Lagoon,2015-12-01,2012,12,-6.00650275,-6.06603067764683,-7.06127946127946
Lagoon,2016-01-01,2015,1,-7.32409966666667,-7.30939614055826,-5.91221532091097
Lagoon,2016-01-01,2013,1,-7.32409966666667,-7.30939614055826,-5.91221532091097
Lagoon,2016-01-01,2012,1,-7.32409966666667,-7.30939614055826,-5.91221532091097
Lagoon,2016-02-01,2015,2,-7.24796857878788,-7.32384716441241,-6.36314699792961
Lagoon,2016-02-01,2013,2,-7.24796857878788,-7.32384716441241,-6.36314699792961
Lagoon,2016-02-01,2012,2,-7.24796857878788,-7.32384716441241,-6.36314699792961
Lagoon,2016-03-01,2015,3,-7.19741048181818,-7.23135883197623,-6.05
Lagoon,2016-03-01,2013,3,-7.19741048181818,-7.23135883197623,-6.05
Lagoon,2016-03-01,2012,3,-7.19741048181818,-7.23135883197623,-6.05
Lagoon,2016-04-01,2015,4,-7.45225856363636,-7.41024170348363,-5.93333333333333
Lagoon,2016-04-01,2013,4,-7.45225856363636,-7.41024170348363,-5.93333333333333
Lagoon,2016-04-01,2012,4,-7.45225856363636,-7.41024170348363,-5.93333333333333
Lagoon,2016-05-01,2015,5,-7.66066374242424,-7.51758221167195,-5.81666666666667
Lagoon,2016-05-01,2013,5,-7.66066374242424,-7.51758221167195,-5.81666666666667
Lagoon,2016-05-01,2012,5,-7.66066374242424,-7.51758221167195,-5.81666666666667
Lagoon,2016-06-01,2015,6,-7.35907881515152,-7.15147486735506,-5.7
Lagoon,2016-06-01,2013,6,-7.35907881515152,-7.15147486735506,-5.7
Lagoon,2016-06-01,2012,6,-7.35907881515152,-7.15147486735506,-5.7
Lagoon,2016-07-01,2015,7,-7.2938235969697,-7.1291367922175,-5.35
Lagoon,2016-07-01,2013,7,-7.2938235969697,-7.1291367922175,-5.35
Lagoon,2016-07-01,2012,7,-7.2938235969697,-7.1291367922175,-5.35
Lagoon,2016-08-01,2015,8,-7.29823273333333,-7.18006395062537,-5.8003367003367
Lagoon,2016-08-01,2013,8,-7.29823273333333,-7.18006395062537,-5.8003367003367
Lagoon,2016-08-01,2012,8,-7.29823273333333,-7.18006395062537,-5.8003367003367
Lagoon,2016-09-01,2015,9,-7.22268953030303,-7.3052097371942,-5.98947811447811
Lagoon,2016-09-01,2013,9,-7.22268953030303,-7.3052097371942,-5.98947811447811
Lagoon,2016-09-01,2012,9,-7.22268953030303,-7.3052097371942,-5.98947811447811
Lagoon,2016-10-01,2015,10,-6.85702515454546,-6.95010793983658,-6.26268237934905
Lagoon,2016-10-01,2013,10,-6.85702515454546,-6.95010793983658,-6.26268237934905
Lagoon,2016-10-01,2012,10,-6.85702515454546,-6.95010793983658,-6.26268237934905
Lagoon,2016-11-01,2015,11,-6.21123364848485,-6.35262155873132,-6.80909090909091
Lagoon,2016-11-01,2013,11,-6.21123364848485,-6.35262155873132,-6.80909090909091
Lagoon,2016-11-01,2012,11,-6.21123364848485,-6.35262155873132,-6.80909090909091
Lagoon,2016-12-01,2015,12,-5.1674441,-5.34609443960186,-7.06127946127946
Lagoon,2016-12-01,2013,12,-5.1674441,-5.34609443960186,-7.06127946127946
Lagoon,2016-12-01,2012,12,-5.1674441,-5.34609443960186,-7.06127946127946
Lagoon,2017-01-01,2016,1,-6.692784825,-6.65130809669727,-5.91221532091097
Lagoon,2017-01-01,2015,1,-6.692784825,-6.65130809669727,-5.91221532091097
Lagoon,2017-01-01,2013,1,-6.692784825,-6.65130809669727,-5.91221532091097
Lagoon,2017-01-01,2012,1,-6.692784825,-6.65130809669727,-5.91221532091097
Lagoon,2017-02-01,2016,2,-6.85261601818182,-6.8920190331954,-6.36314699792961
Lagoon,2017-02-01,2015,2,-6.85261601818182,-6.8920190331954,-6.36314699792961
Lagoon,2017-02-01,2013,2,-6.85261601818182,-6.8920190331954,-6.36314699792961
Lagoon,2017-02-01,2012,2,-6.85261601818182,-6.8920190331954,-6.36314699792961
Lagoon,2017-03-01,2016,3,-7.07130918181818,-7.0632606135653,-6.05
Lagoon,2017-03-01,2015,3,-7.07130918181818,-7.0632606135653,-6.05
Lagoon,2017-03-01,2013,3,-7.07130918181818,-7.0632606135653,-6.05
Lagoon,2017-03-01,2012,3,-7.07130918181818,-7.0632606135653,-6.05
Lagoon,2017-04-01,2016,4,-7.45644724318182,-7.40744867874578,-5.93333333333333
Lagoon,2017-04-01,2015,4,-7.45644724318182,-7.40744867874578,-5.93333333333333
Lagoon,2017-04-01,2013,4,-7.45644724318182,-7.40744867874578,-5.93333333333333
Lagoon,2017-04-01,2012,4,-7.45644724318182,-7.40744867874578,-5.93333333333333
Lagoon,2017-05-01,2016,5,-6.935287325,-7.01758080988006,-5.81666666666667
Lagoon,2017-05-01,2015,5,-6.935287325,-7.01758080988006,-5.81666666666667
Lagoon,2017-05-01,2013,5,-6.935287325,-7.01758080988006,-5.81666666666667
Lagoon,2017-05-01,2012,5,-6.935287325,-7.01758080988006,-5.81666666666667
Lagoon,2017-06-01,2016,6,-6.83519992954545,-6.93371737480878,-5.7
Lagoon,2017-06-01,2015,6,-6.83519992954545,-6.93371737480878,-5.7
Lagoon,2017-06-01,2013,6,-6.83519992954545,-6.93371737480878,-5.7
Lagoon,2017-06-01,2012,6,-6.83519992954545,-6.93371737480878,-5.7
Lagoon,2017-07-01,2016,7,-6.96174214318182,-7.04173506647855,-5.35
Lagoon,2017-07-01,2015,7,-6.96174214318182,-7.04173506647855,-5.35
Lagoon,2017-07-01,2013,7,-6.96174214318182,-7.04173506647855,-5.35
Lagoon,2017-07-01,2012,7,-6.96174214318182,-7.04173506647855,-5.35
Lagoon,2017-08-01,2016,8,-6.67404599545455,-6.77328361651786,-5.8003367003367
Lagoon,2017-08-01,2015,8,-6.67404599545455,-6.77328361651786,-5.8003367003367
Lagoon,2017-08-01,2013,8,-6.67404599545455,-6.77328361651786,-5.8003367003367
Lagoon,2017-08-01,2012,8,-6.67404599545455,-6.77328361651786,-5.8003367003367
Lagoon,2017-09-01,2016,9,-6.55742433863636,-6.59662730481661,-5.98947811447811
Lagoon,2017-09-01,2015,9,-6.55742433863636,-6.59662730481661,-5.98947811447811
Lagoon,2017-09-01,2013,9,-6.55742433863636,-6.59662730481661,-5.98947811447811
Lagoon,2017-09-01,2012,9,-6.55742433863636,-6.59662730481661,-5.98947811447811
Lagoon,2017-10-01,2016,10,-6.20270931818182,-6.32067151004506,-6.26268237934905
Lagoon,2017-10-01,2015,10,-6.20270931818182,-6.32067151004506,-6.26268237934905
Lagoon,2017-10-01,2013,10,-6.20270931818182,-6.32067151004506,-6.26268237934905
Lagoon,2017-10-01,2012,10,-6.20270931818182,-6.32067151004506,-6.26268237934905
Lagoon,2017-11-01,2016,11,-5.35328919772727,-5.58934021590667,-6.80909090909091
Lagoon,2017-11-01,2015,11,-5.35328919772727,-5.58934021590667,-6.80909090909091
Lagoon,2017-11-01,2013,11,-5.35328919772727,-5.58934021590667,-6.80909090909091
Lagoon,2017-11-01,2012,11,-5.35328919772727,-5.58934021590667,-6.80909090909091
Lagoon,2017-12-01,2016,12,-4.631513575,-4.89745188887926,-7.06127946127946
